Kabupaten Kota,Provinsi,Jumlah Produksi Sampah,Satuan,Tahun
KABUPATEN BOGOR,JAWA BARAT,1511.15,TON PER HARI,2015
KABUPATEN SUKABUMI,JAWA BARAT,419.01,TON PER HARI,2015
KABUPATEN CIANJUR,JAWA BARAT,981.41,TON PER HARI,2015
KABUPATEN BANDUNG,JAWA BARAT,1895.94,TON PER HARI,2015
KABUPATEN GARUT,JAWA BARAT,464.74,TON PER HARI,2015
KABUPATEN TASIKMALAYA,JAWA BARAT,464.52,TON PER HARI,2015
KABUPATEN CIAMIS,JAWA BARAT,260.91,TON PER HARI,2015
KABUPATEN KUNINGAN,JAWA BARAT,251.7,TON PER HARI,2015
KABUPATEN CIREBON,JAWA BARAT,465.75,TON PER HARI,2015
KABUPATEN MAJALENGKA,JAWA BARAT,254.63,TON PER HARI,2015
KABUPATEN SUMEDANG,JAWA BARAT,237.96,TON PER HARI,2015
KABUPATEN INDRAMAYU,JAWA BARAT,613.18,TON PER HARI,2015
KABUPATEN SUBANG,JAWA BARAT,487.26,TON PER HARI,2015
KABUPATEN PURWAKARTA,JAWA BARAT,308.96,TON PER HARI,2015
KABUPATEN KARAWANG,JAWA BARAT,869.86,TON PER HARI,2015
KABUPATEN BEKASI,JAWA BARAT,1228.6,TON PER HARI,2015
KABUPATEN BANDUNG BARAT,JAWA BARAT,616.08,TON PER HARI,2015
KABUPATEN PANGANDARAN,JAWA BARAT,185.83,TON PER HARI,2015
KOTA BOGOR,JAWA BARAT,991.93,TON PER HARI,2015
KOTA SUKABUMI,JAWA BARAT,309.91,TON PER HARI,2015
KOTA BANDUNG,JAWA BARAT,2448.63,TON PER HARI,2015
KOTA CIREBON,JAWA BARAT,304.15,TON PER HARI,2015
KOTA BEKASI,JAWA BARAT,2387.08,TON PER HARI,2015
KOTA DEPOK,JAWA BARAT,1844.3,TON PER HARI,2015
KOTA CIMAHI,JAWA BARAT,563.21,TON PER HARI,2015
KOTA TASIKMALAYA,JAWA BARAT,472.36,TON PER HARI,2015
KOTA BANJAR,JAWA BARAT,130.21,TON PER HARI,2015
KABUPATEN BOGOR,JAWA BARAT,1511.15,TON PER HARI,2016
KABUPATEN SUKABUMI,JAWA BARAT,419.01,TON PER HARI,2016
KABUPATEN CIANJUR,JAWA BARAT,981.41,TON PER HARI,2016
KABUPATEN BANDUNG,JAWA BARAT,1895.94,TON PER HARI,2016
KABUPATEN GARUT,JAWA BARAT,464.74,TON PER HARI,2016
KABUPATEN TASIKMALAYA,JAWA BARAT,464.52,TON PER HARI,2016
KABUPATEN CIAMIS,JAWA BARAT,260.91,TON PER HARI,2016
KABUPATEN KUNINGAN,JAWA BARAT,251.7,TON PER HARI,2016
KABUPATEN CIREBON,JAWA BARAT,465.75,TON PER HARI,2016
KABUPATEN MAJALENGKA,JAWA BARAT,254.63,TON PER HARI,2016
KABUPATEN SUMEDANG,JAWA BARAT,237.96,TON PER HARI,2016
KABUPATEN INDRAMAYU,JAWA BARAT,613.18,TON PER HARI,2016
KABUPATEN SUBANG,JAWA BARAT,487.26,TON PER HARI,2016
KABUPATEN PURWAKARTA,JAWA BARAT,308.96,TON PER HARI,2016
KABUPATEN KARAWANG,JAWA BARAT,869.86,TON PER HARI,2016
KABUPATEN BEKASI,JAWA BARAT,1228.6,TON PER HARI,2016
KABUPATEN BANDUNG BARAT,JAWA BARAT,616.08,TON PER HARI,2016
KABUPATEN PANGANDARAN,JAWA BARAT,185.83,TON PER HARI,2016
KOTA BOGOR,JAWA BARAT,991.93,TON PER HARI,2016
KOTA SUKABUMI,JAWA BARAT,309.91,TON PER HARI,2016
KOTA BANDUNG,JAWA BARAT,2448.63,TON PER HARI,2016
KOTA CIREBON,JAWA BARAT,304.15,TON PER HARI,2016
KOTA BEKASI,JAWA BARAT,2387.08,TON PER HARI,2016
KOTA DEPOK,JAWA BARAT,1844.3,TON PER HARI,2016
KOTA CIMAHI,JAWA BARAT,563.21,TON PER HARI,2016
KOTA TASIKMALAYA,JAWA BARAT,472.36,TON PER HARI,2016
KOTA BANJAR,JAWA BARAT,130.21,TON PER HARI,2016
KABUPATEN BOGOR,JAWA BARAT,1511.15,TON PER HARI,2017
KABUPATEN SUKABUMI,JAWA BARAT,419.01,TON PER HARI,2017
KABUPATEN CIANJUR,JAWA BARAT,981.41,TON PER HARI,2017
KABUPATEN BANDUNG,JAWA BARAT,1895.94,TON PER HARI,2017
KABUPATEN GARUT,JAWA BARAT,464.74,TON PER HARI,2017
KABUPATEN TASIKMALAYA,JAWA BARAT,464.52,TON PER HARI,2017
KABUPATEN CIAMIS,JAWA BARAT,260.91,TON PER HARI,2017
KABUPATEN KUNINGAN,JAWA BARAT,251.7,TON PER HARI,2017
KABUPATEN CIREBON,JAWA BARAT,465.75,TON PER HARI,2017
KABUPATEN MAJALENGKA,JAWA BARAT,254.63,TON PER HARI,2017
KABUPATEN SUMEDANG,JAWA BARAT,237.96,TON PER HARI,2017
