2015,2016,2017,2018,2019,2020,2021,2022,2023
1511.15,1511.15,1511.15,1716.8,2914.65,2977.0,971.59,,
419.01,419.01,419.01,415.5,1003.64,1006.0,356.02,,
981.41,981.41,981.41,965.19,1115.81,1117.0,355.69,,
1895.94,1895.94,1895.94,2068.06,1334.12,1355.0,1489.04,,
464.74,464.74,464.74,473.89,1144.01,1151.0,321.17,,
464.52,464.52,464.52,458.45,753.06,754.0,172.26,,
260.91,260.91,260.91,263.01,560.57,564.0,159.41,,
251.7,251.7,251.7,248.52,537.25,540.0,405.76,,
465.75,465.75,465.75,466.25,3.15,1096.0,242.52,,
254.63,254.63,254.63,249.26,515.7,518.0,546.54,,
237.96,237.96,237.96,236.12,436.96,438.0,707.75,,
613.18,613.18,613.18,603.11,1071.05,1077.0,792.48,,
487.26,487.26,487.26,498.7,1012.45,1023.0,739.6,,
308.96,308.96,308.96,323.87,384.43,388.0,239.72,,
869.86,869.86,869.86,896.85,934.4,942.0,614.61,,
1228.6,1228.6,1228.6,1600.71,2590.0,2258.0,1193.76,,
616.08,616.08,616.08,663.54,1124.5,1135.0,201.09,,
185.83,185.83,185.83,171.21,250.23,252.0,46.62,,
991.93,991.93,991.93,1069.41,620.55,567.0,719.72,,
309.91,309.91,309.91,318.12,172.82,181.0,232.06,,
2448.63,2448.63,2448.63,2441.12,1575.73,1630.0,1529.04,,
304.15,304.15,304.15,308.37,245.0,192.0,229.75,,
2387.08,2387.08,2387.08,2858.6,2060.7,1923.0,1500.77,,
1844.3,1844.3,1844.3,2272.07,1469.77,1516.0,1418.87,,
563.21,563.21,563.21,592.62,267.74,369.0,193.36,,
472.36,472.36,472.36,465.23,291.6,285.0,295.87,,
130.21,130.21,130.21,128.34,100.67,79.0,60.29,,
